stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
115a,Kehribar,,37.8534333,32.4377667,,
115d,Kehribar,,37.8535334,32.4376666,,
1160a,Fulya,,38.009636,32.481497,,
1160d,Fulya,,38.009707,32.48119,,
1161a,Ahmet Şuayip,,37.772936,32.408412,,
1161d,Ahmet Şuayip,,37.77288,32.408519,,
1162a,Estergon,,37.775503,32.410729,,
1162d,Estergon,,37.775524,32.410579,,
1163a,Motif,,37.778605,32.411078,,
1163d,Motif,,37.778529,32.410928,,
1164a,Mimoza,,38.006094,32.490283,,
1164d,Mimoza,,38.005957,32.490439,,
1165a,Mihman,,37.862431,32.643885,,
1166a,İpek,,37.891116,32.525002,,
1166d,İpek,,37.891114,32.524847,,
1167a,Horasanlı İlkokulu,,37.893142,32.526825,,
1167d,Horasanlı İlkokulu,,37.893263,32.526681,,
1168a,Tuğra,,37.984626,32.900764,,
1168d,Tuğra,,37.984563,32.900683,,
1169a,Hakkaniyet,,37.8973583,32.5321166,,
1169d,Hakkaniyet,,37.897288,32.531896,,
116a,Avgın,,37.8513,32.43475,,
116d,Avgın,,37.8515417,32.4351083,,
1170a,Keçeciler Son Durak Cami,,37.8989417,32.53515,,
1170d,Keçeciler Son Durak Cami,,37.898896,32.535023,,
1171a,Kısmet,,37.897725,32.5369083,,
1171d,Kısmet,,37.89773,32.53728,,
1172a,Çevik Kuvvet,,37.894015,32.538591,,
1172d,Çevik Kuvvet,,37.894369,32.539154,,
1173a,Başak,,37.890275,32.5337417,,
1173d,Başak,,37.890325,32.5334583,,
1174a,Açelya,,37.974068,32.507852,,
1174d,Açelya,,37.974239,32.508035,,
1175a,Anemon,,37.974685,32.503899,,
1175d,Anemon,,37.974793,32.503931,,
1176a,Feslegen,,37.974864,32.496957,,
1176d,Feslegen,,37.975012,32.496925,,
1177a,Tüzel,,37.8796584,32.537625,,
1177d,Tüzel,,37.879475,32.5374917,,
1178a,Döküm,,37.896391,32.528355,,
1178d,Döküm,,37.896247,32.528601,,
1179a,Çakırdoğan,,37.888625,32.5213333,,
1179d,Çakırdoğan,,37.8884583,32.5212417,,
117a,Çandır,,37.8499083,32.4309083,,
117d,Çandır,,37.8499416,32.4308417,,
1180a,Yediler Laleli Cami,,37.8874083,32.5195166,,
1180d,Yediler Laleli Cami,,37.8871583,32.5191917,,
1181a,Yediler Işıklar Cami,,37.885286,32.515749,,
1181d,Yediler Işıklar Cami,,37.885263,32.515878,,
1182a,Sarıkışla,,37.883647,32.512959,,
1182d,Sarıkışla,,37.883625,32.5131,,
1183a,Bağönü,,37.881875,32.5098583,,
1183d,Bağönü,,37.881725,32.50975,,
1184a,Keçeciler Cami,,37.8803584,32.506925,,
1184d,Keçeciler Cami,,37.8802083,32.5068083,,
1185a,Sarık,,37.885675,32.4999583,,
1185d,Sarık,,37.885675,32.4999983,,
1186a,Flora,,37.948994,32.519724,,
1186d,Flora,,37.948916,32.519778,,
1187a,Karacihan,,37.886933,32.504248,,
1187d,Karacihan,,37.88696,32.504145,,
1188a,Şehit Sadık Ortaokulu,,37.888846,32.506458,,
1188d,Şehit Sadık Ortaokulu,,37.888776,32.506522,,
1189a,Araplar Mezarlığı,,37.890235,32.508957,,
1189d,Araplar Mezarlığı,,37.890089,32.508963,,
118a,Karaciğan Cami,,37.859824,32.471251,,
118d,Karaciğan Cami,,37.859872,32.471074,,
1190a,Suyolu,,37.891778,32.511114,,
1190d,Suyolu,,37.891844,32.511023,,
1191a,Burhaniye,,37.893416,32.513533,,
1191d,Burhaniye,,37.893482,32.513453,,
1192a,Selimiye,,37.894956,32.515293,,
1192d,Selimiye,,37.895102,32.515132,,
1193a,Meftunlu,,37.897496,32.517375,,
1193d,Meftunlu,,37.897625,32.517255,,
1194a,Cevher Dudayev,,37.899957,32.51908,,
1194d,Cevher Dudayev,,37.899977,32.518774,,
1195a,Hasşehir,,37.9021583,32.5206833,,
1195d,Hasşehir,,37.902575,32.5208083,,
1196a,10424. Sk,,37.9045417,32.5227083,,
1196d,10424. Sk,,37.904725,32.5226583,,
1197a,Muhabir,,37.903625,32.524625,,
1197d,Muhabir,,37.9036166,32.52485,,
1198a,Mesnevi,,37.9007583,32.5260417,,
